Время;№ шатра;Площадка;Мероприятие
00:00 – 00:00;8;СИДДХА КРИЙЯ-ЙОГА;"Сатсанг, ответы на&nbsp;вопросы"
00:00 – 15:50;8;СИДДХА КРИЙЯ-ЙОГА;"«Нада пранаяма»&nbsp;— успокоение ума и&nbsp;снижение агрессии"
00:00 – 00:00;8;СИДДХА КРИЙЯ-ЙОГА;"Медитация «Бабаджи Самьяма Дхьяна»&nbsp;— поиск ответов на&nbsp;глубинные вопросы"
00:00 – 00:00;8;СИДДХА КРИЙЯ-ЙОГА;"ЛЕКЦИЯ Маха Лакшми: как&nbsp;увеличить благосостояние в&nbsp;2 раза и&nbsp;больше через энергию изобилия"
09:00 – 10:00;74;Академия биоэнергетики Андрея Захаревича;Йога для детей
10:00 – 11:00;74;Академия биоэнергетики Андрея Захаревича;Йога для беременных
10:00 – 12:00;14;Прана;"Нейрографика для&nbsp;детей «Городок настроений»"
10:00 – 14:00;29;ЛогоЙога;"Гадание по&nbsp;зубам: экспресс диагностика прикуса и&nbsp;осанки"
10:00 – 11:00;29;ЛогоЙога;"ЛогоЙога: практика для&nbsp;детей и&nbsp;взрослых"
10:00 – 12:00;14;Прана;"Арт-терапия для&nbsp;беременных «Мандала силы»"
10:00 – 11:00;9;Садхгуру;Детская Йога
10:00 – 11:00;2;ЭРА/ERA;"Йога-класс ""Мягкая сила"" для беременных"
10:30 – 11:45;14;Прана;"«Для&nbsp;женского здоровья», мягкая практика йоги для&nbsp;беременных"
10:30 – 11:45;14;Прана;"Йога для&nbsp;детей (6-13 лет)"
11:00 – 12:00;74;Академия биоэнергетики Андрея Захаревича;Энергоактивное дыхание для беременных
11:00 – 11:55;68;Федерация учителей Кундалини йоги РФ;«Осознанная беременность: как оставаться в ресурсе»
11:00 – 11:30;2;ЭРА/ERA;"Дыхательная практика ""Сияние"" для беременных"
11:00 – 12:00;26;Про дреды / Pro dread;Хатха-йога
11:00 – 11:40;29;ЛогоЙога;"«Ребёнок молчит или&nbsp;плохо говорит: ждать или&nbsp;действовать» лекция логопеда"
11:00 – 20:00;66;Центр аюрведы и йоги Керала;Аюрведический массаж зон головы, шеи и рук (на выбор)
11:00 – 12:00;54;"ROXY &amp; PROWAKESURF";ROXY йога. Утренняя волна дыхания и движения.
11:30 – 13:00;56;Сноб;Антистресс со Снобом. Гореть, но не сгорать
11:40 – 12:00;29;ЛогоЙога;"ЛогоЙога: практика для&nbsp;детей и&nbsp;взрослых"
12:00 – 13:00;49;Purity Sensation;практика «Возвращение в тело»
12:00 – 13:30;14;Прана;"Арома-практикум «Ароматы и&nbsp;Архетипы»"
12:00 – 13:00;71;AUM Healing Center;Сакральная практика «Изобилие и Процветание» Кундалини Йога из простространства Сат Нам Расаян + Звукотерапия
12:00 – 13:30;14;Прана;"«7 чакр&nbsp;— 7 центров силы и&nbsp;энергии», Кундалини йога"
12:00 – 13:00;70;Сеть клиник «Атрея Аюрведа»;Лекция «О причинах плохого самочувствия и восстановлении организма» + ответы на вопросы
12:00 – 13:00;37;Московский институт психоанализа;Логотерапия: Смыслы и цели
12:00 – 13:00;15;YOGALOVE;"«Ритм жизни»: звуковое исцеляющее путешествие с&nbsp;поющими непальскими чашами и&nbsp;билами"
12:00 – 13:30;69;Простая медитация;Саундхилинг с поющими чашами + аромо-практика с медитацией.
12:00 – 18:00;15;YOGALOVE;Экспресс-игры
12:00 – 12:45;16;Випассана центр Цветок Тишины;Пробуждение в Три Шага (авторская методика) Тело • Сердце • Тишина ума
12:00 – 13:00;67;ЙОЖ;Медитативная сказка в наушниках «ЙОЖ нашёл себя»
12:00 – 13:00;17;Махасиддха Йога;Йога для Жизни - практический мастер класс йоге 24х7
12:00 – 12:40;18;Путь к счастью;Йога от напряжения
12:00 – 12:50;66;Центр аюрведы и йоги Керала;Лекция «Личная эффективность. Как 8 ступеней йоги помогают принимать решения и управлять стрессом»
12:00 – 14:00;52;Экстатичные танцы Москва;Экстатичные танцы
12:00 – 13:00;48;Вы здоровы;Мастер класс по изготовлению натурального крема для кожи
12:00 – 13:30;14;Прана;Арт-практика «Сила внутри меня»
12:00 – 13:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
12:00 – 15:00;72;Единение;«Осознанный нетворкинг - полезные знакомства» «Мастер-Майнд по медийности»
12:00 – 13:00;72;Единение;Практика «Цигун для бизнеса»
12:00 – 14:00;7;Амрит Нам Саровар;«Все начинается с мечты» класс по Кундалини йоге
12:00 – 12:50;8;СИДДХА КРИЙЯ-ЙОГА;"«Нада пранаяма»&nbsp;— успокоение ума и&nbsp;снижение агрессии"
12:00 – 12:30;5;Мантра Релакс;Мантра Релакс -отдых в атмосфере мантр
12:00 – 20:00;3;Эра Милосердия;Занятия в стиле Тайцзицюань
12:00 – 20:00;3;Эра Милосердия;Консультации по семейным отношениям
12:00 – 20:00;3;Эра Милосердия;Консультации по избавлению от дурных привычек
12:00 – 20:00;3;Эра Милосердия;Консультации по астрологии
12:00 – 20:00;3;Эра Милосердия;Консультации по аюрведе
12:00 – 13:00;50;Бабий Кут;Как в старину женщину ладной делали
12:00 – 13:00;2;ЭРА/ERA;"Женская динамическая практика ""Таз Богини"""
12:00 – 13:30;2;Цветок Жизни;"«Танец четырёх стихий»&nbsp;— практика из&nbsp;телесно-ориентированной и&nbsp;танцедвигательной терапии"
12:00 – 13:00;9;Садхгуру;"Йога для общего благополучия. (Йога Намаскар + медитация ""Живая почва"")"
12:00 – 12:15;10;МАНТРА ЙОГА;Лекция о мантра-медитации
12:00 – 13:00;74;Академия биоэнергетики Андрея Захаревича;Мужская и женская энергетика. Методы формирования
12:00 – 20:00;74;Академия биоэнергетики Андрея Захаревича;Приборные исследования: диагностика ауры, сердечных ритмов, энцефалограммы для определения уровня энергии и готовности человека входить в медитативные состояния
12:00 – 13:00;12;Inside Flow Yoga;Inside Flow
12:00 – 13:00;73;Арт-Глубина «Пространство Изобилия»;Медитация с кистью
12:00 – 19:00;72;Единение;«Уголок красоты» наши девочки от Jcos смогут накрасить вас и сделать прическу
12:00 – 19:00;72;Единение;«Чайная церемония»
12:00 – 13:00;65;Мастерская Танай Мари;Великое Мужское и Великое Женское начало
12:00 – 12:50;13;МЫ ТУТ ТАНЦУЕМ;Открытие сцены с пением мантр
12:00 – 13:30;14;Прана;«Энергия практики», хатха-йога
12:00 – 13:00;19;Студия йоги критического выравнивания Херта ван Льюэна;ЙКВ - как практика без насилия помогает работать с последствиями и глубинными причинами стресса
12:00 – 14:00;15;YOGALOVE;Т-игра «Самсара-гейм»
12:00 – 12:45;6;Всё едино;"Правильный баланс души, личности, тела и&nbsp;Духа&nbsp;— практика возвращения к&nbsp;себе"
12:00 – 12:05;59;YOGI ROOM;Капалабхати - дыхание для подъема энергии
12:00 – 12:30;46;Школа ханга;Мастер-класс по игре на ханге
12:00 – 12:15;27;Maya Veda;Энергетическая балансировка: чакры и меридианы тела (индивидуальная практика, нужна запись)
12:00 – 14:00;28;Чаю Мир;«Мудрость внутреннего компаса»
12:00 – 13:00;62;Lady Stretch Балашиха;Йога-хатха
12:00 – 20:00;28;Чаю Мир;«Разрешение. Раз и решение»
12:00 – 13:00;54;"ROXY &amp; PROWAKESURF";Мастер-класс для детей по росписи серфиков.
12:00 – 20:00;28;Чаю Мир;МК по спонтанной живописи «Полет в Беспредельность»+ выставка работ
12:00 – 13:00;63;Женский Дом;Практика Сакрального танца
12:00 – 13:00;29;ЛогоЙога;"«Прикус и&nbsp;осанка: закладываем фундамент качественной жизни ребёнку». Лекция основателя школы"
12:00 – 20:00;28;Чаю Мир;«Трансформация опор»
12:00 – 12:50;42;Lamoda Sport х Loom;Хатха-йога начального уровня
12:00 – 12:30;47;Семейный лес;"Медитация с&nbsp;поющими чашами на&nbsp;тему: Встреча с семьей"
12:00 – 12:10;45;Уроки медитации;Начало программы
12:00 – 13:00;20;Heartfulness;Heartfulness Yoga + медитация
12:00 – 13:30;23;Leela Lounge / Лила Лаунж;4 Линейки демо-версии игры ЛИЛА
12:00 – 20:00;28;Чаю Мир;«Открытие сердца»
12:00 – 15:00;21;ЭКО.СИСТЕМА;Кипрей
12:00 – 13:30;37;Московский институт психоанализа;Как тело показывает, что с нами происходит на самом деле?
12:00 – 12:30;64;Иннердэнс;Лекция «Феномен иннердэнс — 20 лет опыта. Как тело само себя лечит, а сознание расширяется?»
12:00 – 12:45;60;Psychologies;Через кризис к себе: как услышать свои истинные желания, когда внутри сплошной хаос
12:10 – 13:00;45;Уроки медитации;Коллективная медитвция
12:15 – 13:00;10;МАНТРА ЙОГА;Киртан (совместная практика мантр)
12:30 – 12:45;59;YOGI ROOM;диалог на ковриках «Йога как состояние
12:30 – 12:45;27;Maya Veda;Энергетическая балансировка: чакры и меридианы тела (индивидуальная практика, нужна запись)
12:30 – 14:00;64;Иннердэнс;Сессия innerdance. Активация энергии жизни «Целитель — внутри»
12:30 – 13:00;46;Школа ханга;Мастер-класс по игре на ханге
12:30 – 13:00;47;Семейный лес;"Живая встреча на&nbsp;тему «Что мы&nbsp;оставим после себя?»"
12:30 – 13:00;5;Мантра Релакс;Хатха-йога – практика для спины с проработкой всего тела
12:30 – 13:00;47;Семейный лес;"Чайная церемония с&nbsp;Алтайскими угощениями."
12:45 – 13:00;6;Всё едино;"Тайны алхимии и&nbsp;дегустация ормуса&nbsp;— моноатомного золота"
12:45 – 13:30;16;Випассана центр Цветок Тишины;Сатсанг. Ответы на вопросы
12:50 – 14:00;13;МЫ ТУТ ТАНЦУЕМ;Экстатичные танцы
13:00 – 13:05;59;YOGI ROOM;Дыхательная практика для ясности ума
13:00 – 14:00;12;Inside Flow Yoga;Inside Flow
13:00 – 13:30;29;ЛогоЙога;"Как&nbsp;жевание влияет на&nbsp;здоровье и&nbsp;красоту. Практический урок"
13:00 – 14:00;49;Purity Sensation;Групповая медитация «Чистое сознание»
13:00 – 15:00;54;"ROXY &amp; PROWAKESURF";Знакомство с вейксерфингом. Лекция от Prowakesurf.
13:00 – 14:00;10;МАНТРА ЙОГА;"""Мантра-йога. В потоке звука"". ( киртан и джапа с настройками, пранаямой и медитацией)"
13:00 – 13:40;45;Уроки медитации;"Онлайн-встреча с Дадой Саданандой на тему ""Духовность нового времени"""
13:00 – 13:30;9;Садхгуру;Йога для здоровья. Упа-Йога.
13:00 – 14:00;50;Бабий Кут;Тайны женской обрядовой бани
13:00 – 18:00;2;Цветок Жизни;"Арт-терапия: картины акрилом в&nbsp;стиле «Арт-йога»"
13:00 – 13:30;46;Школа ханга;Мастер-класс по игре на ханге
13:00 – 13:30;2;ЭРА/ERA;"Медитация ""Дыхание Любви"""
13:00 – 13:50;42;Lamoda Sport х Loom;Хатха-йога Flow
13:00 – 13:50;8;СИДДХА КРИЙЯ-ЙОГА;"Медитация «Бабаджи Самьяма Дхьяна»&nbsp;— поиск ответов на&nbsp;глубинные вопросы"
13:00 – 13:30;47;Семейный лес;Практика: «Благодарность семье»
13:00 – 13:30;5;Мантра Релакс;Мантра Релакс - отдых в атмосфере мантр
13:00 – 14:00;6;Всё едино;"Медитативная практика для&nbsp;очистки от&nbsp;негатива и&nbsp;накачки энергией «Подкова»"
13:00 – 14:00;6;Всё едино;"Сакральная геометрия&nbsp;— энергия, гармония и&nbsp;трансформация. Лекция и&nbsp;медитация."
13:00 – 14:00;74;Академия биоэнергетики Андрея Захаревича;Энергоактивная йога. Практики дыхания.
13:00 – 13:30;72;Единение;Дегустация wellness-эликсиров Ayusoma и церемониального какао
13:00 – 14:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Слепая зона движения: тазобедренные суставы
13:00 – 13:55;68;Федерация учителей Кундалини йоги РФ;«Активация солнечной энергии»
13:00 – 13:30;18;Путь к счастью;Злость. Лекция и практика
13:00 – 13:50;66;Центр аюрведы и йоги Керала;Аштанга-виньяса: динамичная йога для силы и гибкости
13:00 – 13:30;70;Сеть клиник «Атрея Аюрведа»;Перерыв
13:00 – 14:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
13:00 – 13:15;27;Maya Veda;Энергетическая балансировка: чакры и меридианы тела (индивидуальная практика, нужна запись)
13:00 – 14:00;62;Lady Stretch Балашиха;Лимфо-драйв
13:00 – 16:00;62;Lady Stretch Балашиха;Расстановки по Хеллингеру
13:00 – 14:00;15;YOGALOVE;"Класс йоги «Искусство расслабления: кундалини, цигун и&nbsp;дыхание»"
13:00 – 14:00;71;AUM Healing Center;Практика Кундалини Йоги из простространства Сат Нам Расаян «Отношения с тобой/отношения с собой»
13:00 – 15:00;15;YOGALOVE;Т-игра «Три пути поиска истины»
13:00 – 14:00;48;Вы здоровы;Показательная диагностика. Проверка состояния тела
13:00 – 13:45;60;Psychologies;Экзистенциальное выгорание: профилактика и восстановление. Интерактивная лекция с практикумом.
13:00 – 14:00;20;Heartfulness;Heartfulness Yoga + медитация
13:00 – 14:00;67;ЙОЖ;Медитативная сказка в наушниках «ЙОЖ в Индии»
13:00 – 15:00;26;Про дреды / Pro dread;Мастер-класс по плетению косичек
13:15 – 14:45;17;Махасиддха Йога;Йога для здоровья - практика хатха-йоги для гармонизации меридианов
13:15 – 14:15;63;Женский Дом;Лекция от Дианы Паска Джалаловой
13:30 – 14:00;46;Школа ханга;Мастер-класс по игре на ханге
13:30 – 14:00;9;Садхгуру;Йога для здоровья. Медитация Чит Шакти для здоровья
13:30 – 14:00;72;Единение;Лекция: «Мышление на миллион : 3 способа, как в кризисной ситуации выйти в плюс»
13:30 – 14:00;47;Семейный лес;"Практика- «Частотная терапия&nbsp;— новый инструмент для&nbsp;самоисцеления и&nbsp;саморазвития»"
13:30 – 13:45;59;YOGI ROOM;диалог на ковриках «Как восстановиться за 3 минуты в городе»
13:30 – 14:00;29;ЛогоЙога;"ЛогоЙога: практика для&nbsp;детей и&nbsp;взрослых"
13:30 – 14:00;5;Мантра Релакс;Истинный смысл йоги и практики медитации
13:30 – 14:00;47;Семейный лес;"Живая встреча на&nbsp;тему «О&nbsp;силе семьи, природы и&nbsp;будущих поколений»"
13:30 – 14:30;73;Арт-Глубина «Пространство Изобилия»;Рисование состояния - Как переводить эмоции и внутренние ощущения в цвет и форму
13:30 – 15:30;70;Сеть клиник «Атрея Аюрведа»;Практика для снятия напряжения и усталости. Массаж шейно-воротниковой зоны специалистами клиники (10-15 минут на человека)
13:30 – 13:45;27;Maya Veda;Энергетическая балансировка: чакры и меридианы тела (индивидуальная практика, нужна запись)
13:30 – 14:30;65;Мастерская Танай Мари;Песни, пробуждающие генетическую память
13:30 – 14:30;37;Московский институт психоанализа;Арт-терапия: Эмоции и состояние
13:45 – 14:30;45;Уроки медитации;Коллективная медитвция
13:50 – 15:20;2;Цветок Жизни;"Практика «Знакомство с&nbsp;внутренней женщиной через ароматы». Женский круг. Медитативная практика «Знакомство с&nbsp;собой через аромат»."
14:00 – 15:30;48;Вы здоровы;Хатха-йога. Статика и динамика.Два аспекта работы внимания дхарана - концентрация и смрити - пямятование. Уровень практики открытый
14:00 – 14:40;18;Путь к счастью;"Йога ""Трансформация гнева"""
14:00 – 14:30;47;Семейный лес;"Чайная церемония с&nbsp;Алтайскими угощениями."
14:00 – 15:30;23;Leela Lounge / Лила Лаунж;4 Линейки демо-версии игры ЛИЛА
14:00 – 16:00;7;Амрит Нам Саровар;«Пробуждение Бодхи» специальный класс по КУндалини йое
14:00 – 15:00;20;Heartfulness;Heartfulness Yoga + медитация
14:00 – 15:00;6;Всё едино;"«Радость в&nbsp;каждом дне: основы и&nbsp;практика смехотерапии и&nbsp;йоги смеха»"
14:00 – 15:00;8;СИДДХА КРИЙЯ-ЙОГА;"ЛЕКЦИЯ Скрытый код гороскопа: как&nbsp;накшатры раскрывают вашу судьбу, таланты и&nbsp;кармические сценарии"
14:00 – 15:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
14:00 – 14:30;46;Школа ханга;Мастер-класс по игре на ханге
14:00 – 15:30;14;Прана;«Поиск баланса», хатха-йога
14:00 – 15:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Дыхание, отражающее целостность
14:00 – 16:00;28;Чаю Мир;Чайная церемония
14:00 – 15:00;12;Inside Flow Yoga;Inside Flow
14:00 – 15:30;14;Прана;"«Управляй энергией с&nbsp;помощью пранаямы», практика пранаямы"
14:00 – 15:00;49;Purity Sensation;Энергетический флешмоб (главная сцена)
14:00 – 14:15;10;МАНТРА ЙОГА;Лекция о мантра-медитации
14:00 – 14:45;16;Випассана центр Цветок Тишины;Софт Йога
14:00 – 15:00;29;ЛогоЙога;"«Аденоиды и&nbsp;отиты: может&nbsp;ли помочь йога?» лекция ЛОР-врача"
14:00 – 15:30;14;Прана;Арт-практика «Куда плывём»
14:00 – 15:30;14;Прана;Арт-практика «Трансформационная мандала»
14:00 – 14:30;47;Семейный лес;Практика: «Благодарность семье»
14:00 – 14:10;15;YOGALOVE;Индийский фьюжн: Танцевальный перформанс
14:00 – 16:00;28;Чаю Мир;«Большая семейная расстановка, соединение с ресурсами рода»
14:00 – 17:00;15;YOGALOVE;Т-игра «Путешествие йога»
14:00 – 16:00;15;YOGALOVE;"Рисуем и&nbsp;меняем судьбу «Ломаем препятствия на&nbsp;пути к&nbsp;цели»"
14:00 – 14:15;27;Maya Veda;Энергетическая балансировка: чакры и меридианы тела (индивидуальная практика, нужна запись)
14:00 – 15:10;13;МЫ ТУТ ТАНЦУЕМ;[СИЛА ДВУХ]: Танцевальное исцеление + экстатичные танцы
14:00 – 15:00;9;Садхгуру;Медитация Чудо Ума
14:00 – 15:00;71;AUM Healing Center;Класс Кундалини Йога из простространства Сат Нам Расаян «Внутренняя Свобода» + Самый большой гонг в Москве
14:00 – 15:00;50;Бабий Кут;Путь женских возрастных переходов от рождения до старости
14:00 – 14:30;72;Единение;Лекция: «Личный бренд.Смыслы.Идентичность»
14:00 – 15:00;2;ЭРА/ERA;"Практика ""Энергия Жизни"
14:00 – 15:30;56;Сноб;Сердце и чувства в большом городе. Телесные практики.
14:00 – 14:05;59;YOGI ROOM;Дыхательная практика для перезагрузки
14:00 – 14:50;42;Lamoda Sport х Loom;Йога для здоровой спины
14:00 – 14:30;5;Мантра Релакс;Йога звука - пусть звуки мантр согреют ваши сердца
14:00 – 14:45;60;Psychologies;"Практики психологической поддержки ""резиновая уточка, помощник саморегуляции в XXI веке"""
14:00 – 15:00;69;Простая медитация;"Метафорическая игра "" Свидание с собой"""
14:00 – 15:00;71;AUM Healing Center;Колективная звуковая практика АУМ + Звукотерапия
14:00 – 15:00;62;Lady Stretch Балашиха;Растяжка
14:00 – 15:30;37;Московский институт психоанализа;Мастер-класс: Чего я на самом деле хочу
14:00 – 14:55;68;Федерация учителей Кундалини йоги РФ;«Прана Видья: дыхание любви»
14:00 – 15:00;67;ЙОЖ;Медитативная сказка в наушниках «ЙОЖ потерял настроение»
14:00 – 14:50;66;Центр аюрведы и йоги Керала;Лекция «Агни против кортизола: как аюрведа восстанавливает нервную систему через пищеварение»
14:00 – 15:00;52;Экстатичные танцы Москва;Экстатичные танцы
14:00 – 15:00;74;Академия биоэнергетики Андрея Захаревича;Энергетическая подготовка к зачатию, беременности родов и послеродовому сопровождению
14:10 – 15:00;15;YOGALOVE;"Беседа «Йога&nbsp;— путь любви: связь души с&nbsp;Высшим»"
14:15 – 15:00;10;МАНТРА ЙОГА;Киртан (совместная практика мантр)
14:15 – 14:45;63;Женский Дом;Практика Сакрального танца
14:30 – 14:45;59;YOGI ROOM;диалог на ковриках «Баланс работы, тела и энергии»
14:30 – 15:00;72;Единение;Лекция: «Йога вне коврика: от внутренней опоры к проявленности и бизнес коллаборациям»
14:30 – 16:00;64;Иннердэнс;Сессия иннердэнс «МАТЕРЬиЯ. Единство с изобильной землей»
14:30 – 15:15;45;Уроки медитации;Асана класс с Мариной Чащиной
14:30 – 15:00;46;Школа ханга;Мастер-класс по игре на ханге
14:30 – 15:00;47;Семейный лес;"Медитация с&nbsp;поющими чашами на&nbsp;тему: «Послание в&nbsp;будущее»"
14:30 – 15:00;5;Мантра Релакс;Цигун- практика наполнения жизненной энергией
15:00 – 16:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
15:00 – 18:00;6;Всё едино;"Трансформационная игра о&nbsp;самопознании «Селфика» /3 сеанса по&nbsp;1 ч./"
15:00 – 15:45;17;Махасиддха Йога;Йога для Вдохновения - артистический перформанс
15:00 – 15:50;66;Центр аюрведы и йоги Керала;Хатха йога для гибкости: как растянуться без боли и напряжения
15:00 – 16:00;72;Единение;Лекция + нетворкинг «Как стать звездой, лидером своей ниши?»
