Время;№ шатра;Площадка;Мероприятие
15:00 – 15:45;60;Psychologies;Бытие в контакте с собой и миром. Чувства как ресурс к развитию, благополучию и восстановлению. Лекция и практикум на основе трехмерной картины человека: тело, психика, душа
15:00 – 16:00;67;ЙОЖ;Танцевальная сказко-терапия «Маяк.Возращение к себе»
15:00 – 15:30;29;ЛогоЙога;"Как&nbsp;глотание влияет на&nbsp;зубы и&nbsp;осанку. Практический урок"
15:00 – 16:00;37;Московский институт психоанализа;Психология: Диалог и решение
15:00 – 17:00;21;ЭКО.СИСТЕМА;Дао Дар
15:00 – 16:00;2;ЭРА/ERA;"Семинар ""Мужчина и женщина нового времени"""
15:00 – 15:55;68;Федерация учителей Кундалини йоги РФ;«Любовь правит миром»
15:00 – 15:45;16;Випассана центр Цветок Тишины;Пробуждение в Три Шага (авторская методика) Тело • Сердце • Тишина ума
15:00 – 15:30;47;Семейный лес;"Чайная церемония с&nbsp;Алтайскими угощениями."
15:00 – 16:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Толстый валик под крестец
15:00 – 16:00;50;Бабий Кут;Мастер-класс плетеный оберег из ниток
15:00 – 16:00;52;Экстатичные танцы Москва;Экстатичные танцы
15:00 – 16:00;12;Inside Flow Yoga;Inside Flow
15:00 – 15:15;10;МАНТРА ЙОГА;Лекция о мантра-медитации
15:00 – 16:00;62;Lady Stretch Балашиха;Йога-хатха
15:00 – 15:30;27;Maya Veda;Практика для восстановления ресурса (групповая практика до 10 чел)
15:00 – 16:00;65;Мастерская Танай Мари;Сила 4 стихий
15:00 – 16:00;74;Академия биоэнергетики Андрея Захаревича;Практика энергоактивной йоги
15:00 – 16:00;9;Садхгуру;Йога для умиротворения. (Нади-Шуддхи + медитация Чит Шакти для умиротворения)
15:00 – 15:30;46;Школа ханга;Мастер-класс по игре на ханге
15:00 – 16:00;73;Арт-Глубина «Пространство Изобилия»;Свободная живопись. Практика без правил и оценки результата
15:00 – 15:05;59;YOGI ROOM;Капалабхати - дыхание для подъема энергии
15:00 – 17:00;26;Про дреды / Pro dread;Мастер-класс по плетению расточек
15:00 – 16:00;15;YOGALOVE;"Акустический концерт «От&nbsp;сердца к&nbsp;сердцу»"
15:00 – 15:30;47;Семейный лес;"Практика- «Частотная терапия&nbsp;— новый инструмент для&nbsp;самоисцеления и&nbsp;саморазвития»"
15:00 – 15:50;42;Lamoda Sport х Loom;Хатха-йога с балансами для любого уровня подготовки
15:00 – 15:30;18;Путь к счастью;Страх. Лекция и практика
15:00 – 16:00;54;"ROXY &amp; PROWAKESURF";Лонгвейк. Равновесие будущего. Лекция.
15:00 – 15:30;5;Мантра Релакс;Йога нидра - божественное расcлабление
15:10 – 16:20;13;МЫ ТУТ ТАНЦУЕМ;Экстатичные танцы
15:15 – 16:00;10;МАНТРА ЙОГА;Киртан (совместная практика мантр)
15:20 – 16:00;45;Уроки медитации;Коллективная медитвция
15:30 – 17:00;69;Простая медитация;"Сакральное пеленание ""От сердца к сердцу"""
15:30 – 16:00;47;Семейный лес;"Чайная церемония с&nbsp;Алтайскими угощениями."
15:30 – 16:00;70;Сеть клиник «Атрея Аюрведа»;Перерыв
15:30 – 15:45;59;YOGI ROOM;диалог на ковриках «Йога как состояние
15:30 – 17:00;56;Сноб;Быть в ресурсе. Встреча с психологом
15:30 – 16:00;47;Семейный лес;"Живая встреча на&nbsp;тему «Что мы&nbsp;оставим после себя?»"
15:30 – 16:00;46;Школа ханга;Мастер-класс по игре на ханге
15:30 – 16:00;48;Вы здоровы;Звуковая релаксация в позе Шавасана
15:30 – 16:00;47;Семейный лес;"Живая встреча на&nbsp;тему «Что мы&nbsp;оставим после себя?»"
15:30 – 16:00;29;ЛогоЙога;"ЛогоЙога: практика для&nbsp;детей и&nbsp;взрослых"
15:30 – 16:00;49;Purity Sensation;Растяжка (стрейчинг)
15:30 – 16:30;20;Heartfulness;“Духовная Анатомия. 5 чакр района сердца” + Медитация
15:30 – 16:00;5;Мантра Релакс;Мантра Дайвинг-погружение в звуки йоги
15:40 – 16:10;27;Maya Veda;Практика для восстановления ресурса (групповая практика до 10 чел)
15:40 – 17:20;2;Цветок Жизни;"«Пробуждение чувств»&nbsp;— авторский тренинг Максима Житника на&nbsp;стыке психологии, телесных практик и&nbsp;актёрских техник."
15:45 – 16:30;16;Випассана центр Цветок Тишины;Беседа на тему: Тишина Ума в современном мире
16:00 – 17:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
16:00 – 17:00;62;Lady Stretch Балашиха;Растяжка
16:00 – 17:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Отпусти напряжение, получи легкость на планке под атлант.
16:00 – 17:00;48;Вы здоровы;Денежная групповая проработка запроса с применением кинезиологических методов через тело
16:00 – 16:30;5;Мантра Релакс;Экспресс - Медитация – ТРИ ТЕХНИКИ за 30 минут
16:00 – 17:00;67;ЙОЖ;Интервью с экспертами Йога Журнала
16:00 – 18:00;17;Махасиддха Йога;Йога для отношений - практика асан в паре
16:00 – 16:50;66;Центр аюрведы и йоги Керала;Пранаяма: 5 дыхательных техник, которые изменят вашу жизнь
16:00 – 18:00;15;YOGALOVE;Т-игра «Домино чат»
16:00 – 17:30;23;Leela Lounge / Лила Лаунж;4 Линейки демо-версии игры ЛИЛА
16:00 – 17:00;6;Всё едино;"Медитативная практика по&nbsp;гармонизации ауры «У-син»"
16:00 – 16:45;63;Женский Дом;Просмотр документальных фильмов
16:00 – 16:30;47;Семейный лес;Практика: «Благодарность семье»
16:00 – 16:45;18;Путь к счастью;Йога. Трансформация страха в опору.
16:00 – 16:30;46;Школа ханга;Мастер-класс по игре на ханге
16:00 – 18:00;7;Амрит Нам Саровар;"""Открытие силы"" класс по Кундалини йоге"
16:00 – 16:30;49;Purity Sensation;Групповая медитация «Путь к себе»
16:00 – 17:00;74;Академия биоэнергетики Андрея Захаревича;Временная регрессия. Сборка личной силы.
16:00 – 16:15;10;МАНТРА ЙОГА;Лекция о мантра-медитации
16:00 – 16:50;42;Lamoda Sport х Loom;Ecstatic Dance Flow
16:00 – 17:00;54;"ROXY &amp; PROWAKESURF";ROXY йога. SunShineYoga внутреннего сияния.
16:00 – 16:45;45;Уроки медитации;"Беседа с Дадой Абхидхьянанадой на тему ""Как работает ум: инструкция, которую нам не дали"""
16:00 – 17:00;12;Inside Flow Yoga;Inside Flow
16:00 – 16:30;47;Семейный лес;Практика: «Благодарность семье»
16:00 – 17:00;29;ЛогоЙога;"«Йога и&nbsp;прикус: где встречаются тело и&nbsp;лицо». Лекция ортодонта"
16:00 – 17:00;72;Единение;Лекция + практика «Расширение внутреннего калибра личности»
16:00 – 17:00;52;Экстатичные танцы Москва;Экстатичные танцы
16:00 – 16:55;68;Федерация учителей Кундалини йоги РФ;Женский класс: любовь и чувства в отношениях
16:00 – 17:30;14;Прана;"«Свободная шея и&nbsp;спина», йогатерапия"
16:00 – 17:30;37;Московский институт психоанализа;Отношения с деньгами: что за ними стоит на самом деле
16:00 – 17:00;2;ЭРА/ERA;Медитация близости
16:00 – 16:05;59;YOGI ROOM;Дыхательная практика для перезагрузки
16:00 – 17:30;70;Сеть клиник «Атрея Аюрведа»;«Женское здоровье с точки зрения аюрведы. Гормональный фон, репродуктивное здоровье, эндометриоз, цикл и женское самочувствие в разные периоды жизни» + ответы на вопросы
16:00 – 18:00;28;Чаю Мир;«Массаж Ребозо»
16:00 – 17:30;14;Прана;"Арома-практикум «Психосоматика и&nbsp;эфирные масла: тело как&nbsp;зеркало души»"
16:00 – 17:30;14;Прана;НейроАрт «Ресурсы открытого сердца»
16:00 – 17:00;9;Садхгуру;Йога для любви и радости. (Нада-Йога + медитация Чит Шакти для любви)
16:00 – 17:00;14;Прана;«6 уровней глубины», дзен-медитация
16:00 – 17:00;50;Бабий Кут;Практика наполнения материнской любовью
16:00 – 16:45;60;Psychologies;Как обрести любовь и дело и не потерять себя
16:00 – 16:10;15;YOGALOVE;Индийский фьюжн: Танцевальная медитация
16:10 – 17:00;15;YOGALOVE;Обзор древнейшей «энциклопедии йоги»: Бхагавад-Гиты
16:15 – 17:00;10;МАНТРА ЙОГА;Киртан (совместная практика мантр)
16:20 – 16:50;27;Maya Veda;Практика для восстановления ресурса (групповая практика до 10 чел)
16:20 – 17:30;13;МЫ ТУТ ТАНЦУЕМ;Экстатичные танцы
16:30 – 17:00;46;Школа ханга;Мастер-класс по игре на ханге
16:30 – 17:30;20;Heartfulness;Релаксация/Медитация Heartfulness
16:30 – 17:00;47;Семейный лес;"Медитация с&nbsp;поющими чашами на&nbsp;тему: Встреча с семьей."
16:30 – 16:45;59;YOGI ROOM;диалог на ковриках «Баланс работы, тела и энергии»
16:30 – 17:30;37;Московский институт психоанализа;Коучинг: Карьера и мотивация
16:30 – 18:00;64;Иннердэнс;Сессия иннердэнсc акустическим концертом «Чувствуй сердцем»
16:30 – 17:00;5;Мантра Релакс;Йога звука
16:30 – 17:30;73;Арт-Глубина «Пространство Изобилия»;Внутренний ландшафт - Работа с образом своего внутреннего пространства
16:30 – 17:00;71;AUM Healing Center;Какао церемония AdaJayRa
16:45 – 17:30;45;Уроки медитации;Коллективная медитвция
17:00 – 17:15;66;Центр аюрведы и йоги Керала;Йога-шоу «Магия человеческого тела»
17:00 – 18:00;54;"ROXY &amp; PROWAKESURF";Спортивный реабилитолог «Не сутулься». Практика.
17:00 – 18:00;52;Экстатичные танцы Москва;Экстатичные танцы
17:00 – 18:00;29;ЛогоЙога;"ЛогоЙога: практика для&nbsp;детей и&nbsp;взрослых"
17:00 – 18:00;67;ЙОЖ;Интервью с экспертами и хедлайнерами фестиваля
17:00 – 18:00;54;"ROXY &amp; PROWAKESURF";Мастер-класс для детей по росписи серфиков.
17:00 – 17:05;59;YOGI ROOM;Дыхательная практика для расслабления
17:00 – 18:00;50;Бабий Кут;Медитация в танцах и хороводах
17:00 – 20:00;62;Lady Stretch Балашиха;Расстановки по Хеллингеру
17:00 – 18:00;62;Lady Stretch Балашиха;Йога-хатха
17:00 – 18:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
17:00 – 18:55;68;Федерация учителей Кундалини йоги РФ;«Отпустить боль прошлого. Открыться любви»
17:00 – 19:00;48;Вы здоровы;Нейрографика: древо роста
17:00 – 19:00;49;Purity Sensation;Групповая практика Активации Кундалини по методу Purity Sensation
17:00 – 18:00;26;Про дреды / Pro dread;Хатха-йога
17:00 – 17:45;16;Випассана центр Цветок Тишины;Звуковая практика с Хрустальными чашами
17:00 – 18:00;72;Единение;Проявление внутреннего масштаба во внешний мир, инструменты для роста предпринимателей и экспертов
17:00 – 17:45;60;Psychologies;«Почему я не стройнею» Психосоматика лишнего веса. (Лекция+практики)
17:00 – 17:40;2;ЭРА/ERA;"Семинар ""Энергетические медитации и работа с вниманием"""
17:00 – 17:30;46;Школа ханга;Мастер-класс по игре на ханге
17:00 – 18:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Сила, которая соединяет. Независимый Мир внутри.
17:00 – 17:45;74;Академия биоэнергетики Андрея Захаревича;Энергоактивная йога
17:00 – 18:00;9;Садхгуру;Медитация Чудо Ума
17:00 – 17:30;18;Путь к счастью;Обида. Лекция и практика
17:00 – 18:00;65;Мастерская Танай Мари;Исцеление семи тел
17:00 – 18:00;10;МАНТРА ЙОГА;"""Мантра-йога. В потоке звука"". ( киртан и джапа с настройками, пранаямой и медитацией)"
17:00 – 18:00;6;Всё едино;"Определение особенностей Пути по&nbsp;дате рождения и&nbsp;в&nbsp;медитации с&nbsp;помощью Книги Перемен И-Цзин"
17:00 – 17:50;42;Lamoda Sport х Loom;"Пранаяма &amp; Sound Journey"
17:00 – 17:30;47;Семейный лес;"Чайная церемония с&nbsp;Алтайскими угощениями."
17:00 – 17:30;5;Мантра Релакс;Хатха-йога- раскрытие бедер с проработкой всего тела
17:00 – 18:00;63;Женский Дом;Практика Сакрального танца
17:00 – 18:30;21;ЭКО.СИСТЕМА;Боевик
17:00 – 18:00;12;Inside Flow Yoga;Inside Flow
17:00 – 18:00;15;YOGALOVE;"Класс йоги «Ось равновесия: Йога для&nbsp;спины и&nbsp;терапия звуком»"
17:15 – 18:10;66;Центр аюрведы и йоги Керала;«Открой свое сердце» Хатха-йога для раскрытия грудной клетки
17:20 – 18:00;69;Простая медитация;Звукотерапия под звуки бубна
17:30 – 18:00;47;Семейный лес;"Живая встреча на&nbsp;тему «О&nbsp;силе семьи, природы и&nbsp;будущих поколений»"
17:30 – 18:30;71;AUM Healing Center;АУМ Джем. Мантры, песни, коллективное музыкальное творчество с мастерами звука и участниками фестиваля.
17:30 – 18:40;13;МЫ ТУТ ТАНЦУЕМ;Экстатичные танцы
17:30 – 18:30;14;Прана;Гонг-медитация
17:30 – 18:30;70;Сеть клиник «Атрея Аюрведа»;Перерыв
17:30 – 18:30;20;Heartfulness;“Йогическая психология. Клеши” + Медитация
17:30 – 20:30;14;Прана;Meditation Party - Вечеринка с живой музыкой и медитацией + вег-угощения
17:30 – 18:00;46;Школа ханга;Мастер-класс по игре на ханге
17:30 – 17:50;45;Уроки медитации;Йогические танцы. Каошики. Тандава.
17:30 – 17:45;59;YOGI ROOM;диалог на ковриках «Баланс работы, тела и энергии»
17:40 – 19:20;2;Цветок Жизни;Мастер-класс «Йога звука»
17:45 – 18:15;74;Академия биоэнергетики Андрея Захаревича;Формирование энергетики лидера и бизнеса
17:50 – 18:00;45;Уроки медитации;Подведение итогов лотереи
18:00 – 18:30;45;Уроки медитации;Коллективная медитвция
18:00 – 19:00;2;ЭРА/ERA;"Даосские практики ""Дао любви к себе"""
18:00 – 19:00;52;Экстатичные танцы Москва;Экстатичные танцы
18:00 – 19:00;6;Всё едино;Коллективная динамическая мистерия «Хоровод»
18:00 – 19:00;63;Женский Дом;Практика Сакрального танца
18:00 – 19:00;72;Единение;Лекция «Построение личного бренда на миллиард»
18:00 – 19:00;73;Арт-Глубина «Пространство Изобилия»;Карта снов - Совместная художественная практика для всех участников фестиваля
18:00 – 19:00;9;Садхгуру;Йога для Успеха. (Практика для шеи + медитация Чит Шакти для успеха)
18:00 – 19:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Практика без ожидания. Что значит практиковать с уважением к своим ограничениям в теле?
18:00 – 18:40;18;Путь к счастью;Йога. Освобождение
18:00 – 18:30;46;Школа ханга;Мастер-класс по игре на ханге
18:00 – 18:30;47;Семейный лес;Практика: «Благодарность семье»
18:00 – 18:15;10;МАНТРА ЙОГА;Лекция о мантра-медитации
18:00 – 19:00;37;Московский институт психоанализа;Арт-терапия: Гармония и дыхание
18:00 – 19:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
18:00 – 19:00;15;YOGALOVE;"Электронно-акустический&nbsp;сет. Мантры, бхаджаны, живая мриданга и&nbsp;электронный&nbsp;бит. Аутентичные мотивы."
18:00 – 20:00;14;Прана;"НейроАрт «Древо Роста и&nbsp;реализации»"
18:00 – 20:00;14;Прана;"Арома-практикум «Синергия духовных и&nbsp;телесных практик с&nbsp;эфирными маслами»"
18:00;67;ЙОЖ;Большой Розыгрыш подарков от Йога Журнала
18:00 – 19:00;69;Простая медитация;Обрядовая баня, ретриты- лекция+ правки тела практика.
18:00 – 20:00;28;Чаю Мир;«Медитация с поющими чашами»
18:00 – 20:00;28;Чаю Мир;"Медитативный просмотр фильма ""Какое-то японское слово"" с последующим обсуждением философии кинцуги"
18:00 – 18:30;64;Иннердэнс;Розыгрыш призов
18:00 – 19:30;14;Прана;"«Аскетизм и&nbsp;тантра. Два пути к&nbsp;одной вершине», лекция"
18:00 – 18:45;16;Випассана центр Цветок Тишины;Пробуждение в Три Шага (авторская методика) Тело • Сердце • Тишина ума
18:00 – 19:00;62;Lady Stretch Балашиха;Растяжка
18:00 – 19:30;37;Московский институт психоанализа;Почему мы так устаем, даже когда отдыхаем
18:00 – 19:00;12;Inside Flow Yoga;Inside Flow
18:00 – 19:30;23;Leela Lounge / Лила Лаунж;4 Линейки демо-версии игры ЛИЛА
18:00 – 19:00;29;ЛогоЙога;"«Телу нужно чувствовать» лекция и&nbsp;урок самомассажа"
18:00 – 20:00;15;YOGALOVE;"Рисуем и&nbsp;меняем судьбу «Визуализация мечты»"
18:00 – 19:00;54;"ROXY &amp; PROWAKESURF";Матвейборд. Практика вейксерфа, координация в пространстве.
18:00 – 20:00;50;Бабий Кут;Большая практика получения семейной поддержки
18:00 – 20:00;7;Амрит Нам Саровар;Голос Единого Сердца : вечер мантр и музыки
18:15 – 19:00;10;МАНТРА ЙОГА;Киртан (совместная практика мантр)
18:15 – 20:15;17;Махасиддха Йога;Йога Единства - дыхательная практика медитация в спирали Ян
18:15 – 19:00;74;Академия биоэнергетики Андрея Захаревича;"Практики энергоактивного дыхания. Пошаговое дыхание. Запуск ""ядерных"" реакторов"
18:15 – 19:10;66;Центр аюрведы и йоги Керала;Гонг-медитация по чакрам: погружение в исцеляющие вибрации
18:30 – 20:00;64;Иннердэнс;Сессия иннердэнс «Соединение с духом — все ответы внутри»
18:30 – 19:30;45;Уроки медитации;Концерт духовных песен
18:30 – 19:30;71;AUM Healing Center;Открытый диалог. Мастер класс с инструментами. Гонг медитация в завершении.
18:30 – 20:00;21;ЭКО.СИСТЕМА;Натали Ф
18:30 – 19:30;20;Heartfulness;Релаксация/Медитация Heartfulness
18:30 – 19:30;65;Мастерская Танай Мари;Дух Медведя
18:30 – 19:00;46;Школа ханга;Мастер-класс по игре на ханге
18:30 – 19:30;70;Сеть клиник «Атрея Аюрведа»;Йога-терапия
18:40 – 19:50;13;МЫ ТУТ ТАНЦУЕМ;Экстатичные танцы
19:00 – 20:00;48;Вы здоровы;Танцевально-двигательная терапия: Дыши. Чувствуй. Живи
19:00 – 21:00;52;Экстатичные танцы Москва;Экстатичные танцы
19:00 – 19:30;16;Випассана центр Цветок Тишины;Дзен Ходьба и Танец Сердца
19:00 – 20:00;15;YOGALOVE;"Йога в&nbsp;гамаках"
19:00 – 20:00;74;Академия биоэнергетики Андрея Захаревича;Бесконтактное целительство. Диагностика, коррекция подготовка специалистов
19:00 – 19:55;68;Федерация учителей Кундалини йоги РФ;«Путь к сердцу: энергия пупочного центра»
19:00 – 19:15;10;МАНТРА ЙОГА;Лекция о мантра-медитации
19:00 – 19:30;18;Путь к счастью;Медитация. Высокие вибрации
19:00 – 20:00;9;Садхгуру;Йога для мозга. Топпукарнам + медитация бесконечности
19:00 – 20:00;14;Прана;«Движение жизни», сукшма-вьяяма
19:00 – 20:00;19;Студия йоги критического выравнивания Херта ван Льюэна;Почему люди не летают? Тонкий валик под лопатки.
19:00 – 20:00;63;Женский Дом;Практика Сакрального танца
19:00 – 20:00;62;Lady Stretch Балашиха;Йога-хатха
19:00 – 20:00;54;"ROXY &amp; PROWAKESURF";Спортивный реабилитолог «Не сутулься». Лекция.
19:00 – 20:00;26;Про дреды / Pro dread;Лекция «Что такое дреды»
19:00 – 19:30;46;Школа ханга;Мастер-класс по игре на ханге
19:00 – 20:00;2;ЭРА/ERA;"Экстатик ""Satori - кто внутри?"""
19:00 – 19:30;6;Всё едино;"Элементы йоги голоса и&nbsp;песни от&nbsp;души для&nbsp;души"
19:00 – 20:00;15;YOGALOVE;Электронный сэт: движение, трансформация, ритм
19:15 – 20:00;10;МАНТРА ЙОГА;Киртан (совместная практика мантр)
19:15 – 20:00;66;Центр аюрведы и йоги Керала;Практическое занятие «Мудры — ключ к внутренней силе, энергии и гармонии баланса»
19:20 – 20:00;2;Цветок Жизни;Розыгрыши.
19:30 – 20:30;16;Випассана центр Цветок Тишины;Потоковые Танцы «Тишина ума»
19:30 – 21:00;65;Мастерская Танай Мари;Беседы с Танай Мари
19:30 – 20:15;18;Путь к счастью;"Йога-нидра ""Полет"""
19:30 – 20:00;6;Всё едино;"Розыгрыш призов из&nbsp;сакральной геометрии для&nbsp;активных участников!"
19:30 – 20:30;20;Heartfulness;Что такое йогическая передача? (Пранахути)
19:30 – 20:00;46;Школа ханга;Мастер-класс по игре на ханге
19:30 – 20:00;70;Сеть клиник «Атрея Аюрведа»;Звуковая медитация поющими чашами.
19:50 – 21:00;13;МЫ ТУТ ТАНЦУЕМ;Экстатичные танцы
20:00 – 21:00;15;YOGALOVE;YOGALOVE Афтер парти
20:00 – 21:30;21;ЭКО.СИСТЕМА;Ека Мун
20:00 – 21:00;54;"ROXY &amp; PROWAKESURF";Матвейборд. Практика вейксерфа, координация в пространстве.
20:00 – 20:55;68;Федерация учителей Кундалини йоги РФ;«Счастье-путь к себе настоящему»
20:00 – 20:30;46;Школа ханга;Мастер-класс по игре на ханге
20:30 – 21:00;46;Школа ханга;Мастер-класс по игре на ханге
20:30 – 21:00;16;Випассана центр Цветок Тишины;Финальная общая медитация «Объятие Сердца»
20:30 – 21:00;20;Heartfulness;Общий сатсанг Heartfulness
21:30 – 22:30;21;ЭКО.СИСТЕМА;Малько
